Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL
128.000000	4363.076923	4411.282051	4402.564103	3720.512821	4385.641026	4614.871795	4631.794872	4523.076923	4027.179487	4103.076923	4509.230769	4438.461538	4250.256410	3955.897436	1741.000000	1675.000000	46.285000	0.000000	0.000000	0.000000	0.000000
0.000000	4353.333333	4406.666667	4406.666667	3714.871795	4385.641026	4614.871795	4630.769231	4528.205128	4025.641026	4103.076923	4509.743590	4442.564103	4250.256410	3946.153846	1740.000000	1675.000000	46.300000	0.000000	0.000000	0.000000	0.000000
1.000000	4347.179487	4401.538462	4409.743590	3707.179487	4385.641026	4614.871795	4630.256410	4525.641026	4026.666667	4103.076923	4510.256410	4445.641026	4250.256410	3945.641026	1741.000000	1676.000000	46.300000	0.000000	0.000000	0.000000	0.000000
2.000000	4354.871795	4402.564103	4412.307692	3715.897436	4385.641026	4614.871795	4630.256410	4522.564103	4028.717949	4103.076923	4509.230769	4443.589744	4250.256410	3953.846154	1741.000000	1677.000000	46.316000	0.000000	0.000000	0.000000	0.000000
3.000000	4363.589744	4411.282051	4408.205128	3725.128205	4385.641026	4614.871795	4630.256410	4522.051282	4024.615385	4103.076923	4510.256410	4438.974359	4250.256410	3958.974359	1741.000000	1679.000000	46.316000	0.000000	0.000000	0.000000	0.000000
4.000000	4359.487179	4412.307692	4400.000000	3720.512821	4385.641026	4614.871795	4630.256410	4523.076923	4021.025641	4103.076923	4509.230769	4438.974359	4250.256410	3955.897436	1741.000000	1678.000000	46.332000	0.000000	0.000000	0.000000	0.000000
5.000000	4351.282051	4402.564103	4403.076923	3714.358974	4385.641026	4614.871795	4630.256410	4525.128205	4025.128205	4103.076923	4512.307692	4442.051282	4250.256410	3949.230769	1740.000000	1681.000000	46.332000	0.000000	0.000000	0.000000	0.000000
6.000000	4351.282051	4396.923077	4412.307692	3713.333333	4385.641026	4614.871795	4630.256410	4525.641026	4028.205128	4103.076923	4520.512821	4445.641026	4250.256410	3947.179487	1741.000000	1679.000000	46.347000	0.000000	0.000000	0.000000	0.000000
7.000000	4355.897436	4402.051282	4411.794872	3713.846154	4385.641026	4614.871795	4630.256410	4525.128205	4026.666667	4103.076923	4522.051282	4444.615385	4250.256410	3954.871795	1739.000000	1680.000000	46.347000	0.000000	0.000000	0.000000	0.000000
8.000000	4361.538462	4410.769231	4405.641026	3719.487179	4385.641026	4614.871795	4630.256410	4524.102564	4025.128205	4103.076923	4517.435897	4437.948718	4250.256410	3960.512821	1740.000000	1680.000000	46.363000	0.000000	0.000000	0.000000	0.000000
9.000000	4362.564103	4412.820513	4404.615385	3721.025641	4385.641026	4614.871795	4630.256410	4523.589744	4025.128205	4103.076923	4511.282051	4436.410256	4250.256410	3955.384615	1739.000000	1680.000000	46.363000	0.000000	0.000000	0.000000	0.000000
10.000000	4356.923077	4406.153846	4407.179487	3715.384615	4385.641026	4614.871795	4630.256410	4526.153846	4026.153846	4103.076923	4510.256410	4441.025641	4250.256410	3951.282051	1740.000000	1679.000000	46.379000	0.000000	0.000000	0.000000	0.000000
11.000000	4348.205128	4397.435897	4410.256410	3713.333333	4385.641026	4614.871795	4630.256410	4528.205128	4028.205128	4103.076923	4512.820513	4443.589744	4250.256410	3952.820513	1739.000000	1678.000000	46.379000	0.000000	0.000000	0.000000	0.000000
12.000000	4349.743590	4401.538462	4410.256410	3713.333333	4385.641026	4614.871795	4630.256410	4524.615385	4026.153846	4103.076923	4510.769231	4442.564103	4250.256410	3954.358974	1740.000000	1677.000000	46.394000	0.000000	0.000000	0.000000	0.000000
13.000000	4362.051282	4412.820513	4404.102564	3715.384615	4385.641026	4614.871795	4630.256410	4521.025641	4022.564103	4103.076923	4510.256410	4438.974359	4250.256410	3958.461538	1740.000000	1675.000000	46.394000	0.000000	0.000000	0.000000	0.000000
14.000000	4363.589744	4410.256410	4402.564103	3719.487179	4385.641026	4614.871795	4629.743590	4524.615385	4024.102564	4103.076923	4520.000000	4434.871795	4250.256410	3960.000000	1742.000000	1673.000000	46.410000	0.000000	0.000000	0.000000	0.000000
15.000000	4354.871795	4402.564103	4408.205128	3717.948718	4385.641026	4614.871795	4631.282051	4527.179487	4027.179487	4103.076923	4522.564103	4437.948718	4250.256410	3951.794872	1741.000000	1674.000000	46.410000	0.000000	0.000000	0.000000	0.000000
